# Start time is 12:35:42
# 
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.000000000000000000e+01 6.000000000000000000e+01 1.634726142662652016e+09 1.922359999999999902e-01 1.892989999999999950e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726154358736277e+09 2.002839999999999898e-01 1.942089999999999927e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726164410684347e+09 2.287639999999999951e-01 1.942089999999999927e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726174434591055e+09 2.287639999999999951e-01 2.368979999999999975e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726184475633383e+09 2.498180000000000123e-01 2.368979999999999975e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726194513820410e+09 2.498180000000000123e-01 2.506180000000000074e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726204561599731e+09 2.618639999999999857e-01 2.506180000000000074e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726214607975006e+09 2.618639999999999857e-01 2.663039999999999852e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726224649420738e+09 2.773909999999999987e-01 2.663039999999999852e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726234693208933e+09 2.773909999999999987e-01 2.776850000000000152e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726244729810953e+09 2.917680000000000273e-01 2.776850000000000152e-01
