# Start time is 14:09:05
# 
# Freq, GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# Hz, mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 105; lockin V = 1mV (10uV), tau = 100ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
10.0000000 0.1525902 0.0305180 -0.0098064 0.000052566882139 -0.000079740352239
10.4761575 0.1525902 0.0305180 -0.0098422 -0.000002350132417 -0.000000462435376
10.9749877 0.1525902 0.0305180 -0.0098115 -0.000001227941744 -0.000005497818655
11.4975700 0.1525902 0.0305180 -0.0098262 -0.000001103581205 0.000006214063769
12.0450354 0.1525902 0.0305180 -0.0098240 0.000003087400632 -0.000001370252100
12.6185688 0.1525902 0.0305180 -0.0098347 0.000002393136083 0.000004379914839
13.2194115 0.1525902 0.0305180 -0.0098012 -0.000002555347602 0.000003569834093
13.8488637 0.1525902 0.0305180 -0.0098281 0.000002620866955 0.000000665792610
14.5082878 0.1525902 0.0305180 -0.0098145 -0.000005596013981 0.000000365884187
15.1991108 0.1525902 0.0305180 -0.0098055 -0.000002093803901 -0.000004014022428
15.9228279 0.1525902 0.0305180 -0.0098291 -0.000002431238470 0.000003046832920
16.6810054 0.1525902 0.0305180 -0.0097941 -0.000002567947952 -0.000001904440922
17.4752840 0.1525902 0.0305180 -0.0098478 -0.000002531271775 0.000002782999175
18.3073828 0.1525902 0.0305180 -0.0098270 -0.000003821342979 0.000002114370591
19.1791026 0.1525902 0.0305180 -0.0098588 -0.000000683922170 -0.000002767732022
20.0923300 0.1525902 0.0305180 -0.0098080 -0.000000149357999 0.000002903519283
21.0490414 0.1525902 0.0305180 -0.0098204 0.000002101389017 -0.000001622981019
22.0513074 0.1525902 0.0305180 -0.0098427 -0.000003556037206 -0.000001128978097
23.1012970 0.1525902 0.0305180 -0.0098373 -0.000000410026824 0.000002215261502
24.2012826 0.1525902 0.0305180 -0.0098482 -0.000002471350946 0.000002269146194
25.3536449 0.1525902 0.0305180 -0.0098322 -0.000001275993539 -0.000001846523719
26.5608778 0.1525902 0.0305180 -0.0098155 -0.000004019889394 0.000000108135922
27.8255940 0.1525902 0.0305180 -0.0098460 -0.000001585831397 -0.000000725681132
