# Start time is 11:46:19
# 
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
3.160000000000000000e+02 5.000000000000000000e+01 1.634723179355915070e+09 9.948399999999999604e-03 1.892800000000000038e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723191049949646e+09 9.948399999999999604e-03 1.912689999999999876e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723201091386557e+09 9.936600000000000293e-03 1.912689999999999876e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723211133842945e+09 9.936600000000000293e-03 1.886590000000000142e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723221181337595e+09 1.002890000000000031e-02 1.886590000000000142e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723231211168289e+09 1.002890000000000031e-02 1.905779999999999974e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723241259959698e+09 1.007510000000000003e-02 1.905779999999999974e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723251306235790e+09 1.007510000000000003e-02 1.920840000000000047e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723261343609095e+09 1.005220000000000072e-02 1.891960000000000169e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723271400983572e+09 1.004359999999999975e-02 1.920130000000000101e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723281443471909e+09 1.014409999999999965e-02 1.917330000000000076e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723291479393482e+09 1.011590000000000059e-02 1.914129999999999998e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723301521529913e+09 1.019259999999999958e-02 1.988229999999999859e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723311570355177e+09 1.018540000000000070e-02 1.964199999999999974e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723321609537125e+09 1.028680000000000046e-02 1.928469999999999837e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723331649895430e+09 1.027890000000000054e-02 1.949700000000000044e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723341691093445e+09 1.032469999999999916e-02 1.977790000000000104e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723351733733892e+09 1.048619999999999934e-02 1.936560000000000017e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723361770444393e+09 1.041219999999999993e-02 1.961709999999999843e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723371825037718e+09 1.043509999999999924e-02 1.971240000000000145e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723381863321543e+09 1.056890000000000086e-02 1.967700000000000005e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723391893847704e+09 1.057259999999999971e-02 1.969299999999999870e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723401939675331e+09 1.056890000000000086e-02 2.023240000000000108e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723411973531723e+09 1.070390000000000057e-02 1.981379999999999947e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723422014008760e+09 1.069029999999999980e-02 1.968639999999999973e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723432042287350e+09 1.066420000000000042e-02 1.983520000000000075e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723442084434986e+09 1.076399999999999926e-02 1.995069999999999830e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723452119457722e+09 1.089410000000000031e-02 1.989350000000000146e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723462170870066e+09 1.087660000000000016e-02 1.964849999999999930e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723472209488630e+09 1.090069999999999928e-02 1.995159999999999989e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723482261022091e+09 1.091529999999999931e-02 2.019349999999999964e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723492301987886e+09 1.111750000000000065e-02 1.995859999999999995e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723502340444088e+09 1.101790000000000061e-02 1.990209999999999896e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723512371449947e+09 1.115629999999999920e-02 2.004639999999999894e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723522422222376e+09 1.115949999999999928e-02 2.024640000000000120e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723532472737789e+09 1.106930000000000067e-02 2.022790000000000005e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723542507184029e+09 1.116400000000000031e-02 2.050309999999999980e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723552550319433e+09 1.130229999999999950e-02 2.013519999999999893e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723562594419956e+09 1.130459999999999972e-02 2.042400000000000118e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723572635513544e+09 1.136449999999999960e-02 2.034249999999999947e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723582691882133e+09 1.137640000000000005e-02 2.028140000000000151e-02
3.160000000000000000e+02 5.000000000000000000e+01 1.634723592730533600e+09 1.131019999999999942e-02 2.036229999999999984e-02
