# Start time is 14:20:44
# 
# Freq, GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# Hz, mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 105; lockin V = 1mV (10uV), tau = 100ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
10.0000000 0.1525902 0.0305180 -0.0098420 0.000085287987831 -0.000038427271556
10.4761575 0.1525902 0.0305180 -0.0098097 -0.000000246396731 0.000002650868488
10.9749877 0.1525902 0.0305180 -0.0098245 0.000001105069680 -0.000005236433787
11.4975700 0.1525902 0.0305180 -0.0097861 -0.000000362533061 0.000002403988914
12.0450354 0.1525902 0.0305180 -0.0097713 0.000004110307524 -0.000000127286386
12.6185688 0.1525902 0.0305180 -0.0097690 0.000002783722854 0.000004969606056
13.2194115 0.1525902 0.0305180 -0.0097702 -0.000001751058635 0.000003890820832
13.8488637 0.1525902 0.0305180 -0.0098151 0.000001534612333 -0.000000095352302
14.5082878 0.1525902 0.0305180 -0.0097775 -0.000004009626902 -0.000002341564578
15.1991108 0.1525902 0.0305180 -0.0098204 0.000000520525863 -0.000003013495534
15.9228279 0.1525902 0.0305180 -0.0098172 -0.000001646202176 0.000002634652682
16.6810054 0.1525902 0.0305180 -0.0098315 -0.000004841760464 0.000001817346310
17.4752840 0.1525902 0.0305180 -0.0098215 -0.000001160969747 0.000002155314240
18.3073828 0.1525902 0.0305180 -0.0097894 -0.000001926591833 0.000003562113875
19.1791026 0.1525902 0.0305180 -0.0098424 -0.000003658326720 0.000001515277425
