# Start time is 12:37:47
# 
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.000000000000000000e+01 6.000000000000000000e+01 1.634726267727805614e+09 3.012460000000000138e-01 2.996240000000000014e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726279422975540e+09 3.190850000000000075e-01 3.002759999999999874e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726289463063717e+09 3.131700000000000039e-01 3.002759999999999874e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726299501654625e+09 3.131700000000000039e-01 3.112360000000000126e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726309546551228e+09 3.322149999999999825e-01 3.112360000000000126e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726319583539724e+09 3.322149999999999825e-01 3.301689999999999903e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726329623417854e+09 3.395880000000000010e-01 3.301689999999999903e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726339656975269e+09 3.395880000000000010e-01 3.371529999999999805e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726349710558653e+09 3.463780000000000192e-01 3.371529999999999805e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726359749419689e+09 3.463780000000000192e-01 3.469940000000000246e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726369790863514e+09 3.566650000000000098e-01 3.469940000000000246e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726379835792542e+09 3.566650000000000098e-01 3.528990000000000182e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726389881467581e+09 3.653190000000000048e-01 3.528990000000000182e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726399925561666e+09 3.653190000000000048e-01 3.612949999999999773e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726409969826460e+09 3.718779999999999863e-01 3.612949999999999773e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726420012586594e+09 3.718779999999999863e-01 3.737119999999999886e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726430059381723e+09 3.829429999999999779e-01 3.737119999999999886e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726440095130444e+09 3.829429999999999779e-01 3.804759999999999809e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726450146523237e+09 3.949269999999999725e-01 3.804759999999999809e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726460184290886e+09 3.949269999999999725e-01 3.899420000000000108e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726470224664688e+09 3.921069999999999833e-01 3.899420000000000108e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726480265876293e+09 3.921069999999999833e-01 3.956319999999999837e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726490309866190e+09 4.043209999999999860e-01 3.956319999999999837e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726500353864193e+09 4.043209999999999860e-01 3.999940000000000162e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726510399949074e+09 4.083240000000000203e-01 3.999940000000000162e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726520447369814e+09 4.083240000000000203e-01 4.074320000000000164e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726530492644548e+09 4.125510000000000010e-01 4.074320000000000164e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726540526029348e+09 4.125510000000000010e-01 4.154140000000000055e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726550563543081e+09 4.184889999999999999e-01 4.154140000000000055e-01
1.000000000000000000e+01 6.000000000000000000e+01 1.634726560616626501e+09 4.184889999999999999e-01 4.196010000000000018e-01
