# Start time is 12:07:22
# 
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
3.160000000000000142e+00 5.000000000000000000e+01 1.634724442937382221e+09 5.526120000000000337e-02 5.736379999999999951e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724454683256865e+09 5.526120000000000337e-02 6.081790000000000113e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724464721787453e+09 6.299920000000000520e-02 6.121820000000000039e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724474750311852e+09 6.327820000000000666e-02 6.516310000000000158e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724484795976639e+09 6.601329999999999698e-02 6.553420000000000079e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724494835590839e+09 6.642119999999999969e-02 6.855920000000000070e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724504874888182e+09 6.920439999999999925e-02 6.842529999999999446e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724514925132513e+09 6.929250000000000687e-02 7.129870000000000652e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724524962770700e+09 7.155140000000000111e-02 7.161040000000000461e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724535006883621e+09 7.166200000000000347e-02 7.306219999999999382e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724545054475069e+09 7.310129999999999406e-02 7.325120000000000242e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724555096151829e+09 7.332199999999999829e-02 7.494420000000000248e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724565139024496e+09 7.470469999999999888e-02 7.488499999999999324e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724575184409380e+09 7.484369999999999912e-02 7.636610000000000620e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724585218539476e+09 7.581250000000000488e-02 7.638549999999999507e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724595257784605e+09 7.591269999999999962e-02 7.813359999999999750e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724605296676636e+09 7.756449999999999456e-02 7.824540000000000661e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724615357531548e+09 7.769539999999999780e-02 7.940250000000000086e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724625398122549e+09 7.883400000000000130e-02 7.930320000000000424e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724635438504934e+09 7.896960000000000091e-02 8.024870000000000614e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724645480118036e+09 7.968139999999999945e-02 8.046830000000000649e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724655511407852e+09 7.982809999999999906e-02 8.084550000000000070e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724665562530041e+09 8.068200000000000371e-02 8.087049999999999794e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724675600210190e+09 8.083600000000000507e-02 8.199779999999999569e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724685639264822e+09 8.105229999999999380e-02 8.185639999999999583e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724695682826996e+09 8.109500000000000042e-02 8.261029999999999762e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724705720079660e+09 8.189520000000000133e-02 8.256220000000000225e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724715763639927e+09 8.208350000000000368e-02 8.407820000000000571e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724725793677807e+09 8.278960000000000485e-02 8.414000000000000645e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724735822278261e+09 8.261369999999999825e-02 8.387229999999999686e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724745861824989e+09 8.313859999999999306e-02 8.401229999999999809e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724755909278870e+09 8.322640000000000593e-02 8.416469999999999507e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724765941203117e+09 8.361749999999999738e-02 8.430390000000000106e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724775998703957e+09 8.367840000000000000e-02 8.502479999999999760e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724786046344280e+09 8.393499999999999572e-02 8.504580000000000473e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724796101508141e+09 8.401989999999999459e-02 8.459419999999999440e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724806145560503e+09 8.406489999999999796e-02 8.497860000000000136e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724816199481487e+09 8.408029999999999671e-02 8.595160000000000300e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724826250084400e+09 8.471280000000000476e-02 8.582009999999999639e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724836288006306e+09 8.479399999999999438e-02 8.593989999999999962e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724846335999727e+09 8.529420000000000057e-02 8.587649999999999451e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724856379021883e+09 8.531450000000000145e-02 8.689550000000000052e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724866437032223e+09 8.475580000000000613e-02 8.696020000000000139e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724876475235224e+09 8.477439999999999976e-02 8.701820000000000388e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724886534569263e+09 8.522789999999999533e-02 8.672820000000000529e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724896582087994e+09 8.531850000000000545e-02 8.750159999999999882e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724906633652925e+09 8.585270000000000401e-02 8.724629999999999885e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724916677898169e+09 8.578199999999999714e-02 8.695490000000000164e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724926733851910e+09 8.595719999999999750e-02 8.674819999999999753e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724936766607046e+09 8.591440000000000188e-02 8.721929999999999961e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724946814378977e+09 8.593850000000000100e-02 8.723670000000000035e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724956857235193e+09 8.592229999999999313e-02 8.676659999999999928e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724966902188063e+09 8.634029999999999483e-02 8.678900000000000503e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724976960733891e+09 8.631790000000000296e-02 8.719889999999999586e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724986989088535e+09 8.623840000000000672e-02 8.732449999999999934e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634724997027859211e+09 8.627579999999999971e-02 8.715970000000000661e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725007071288586e+09 8.593800000000000050e-02 8.730809999999999960e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725017113060713e+09 8.593389999999999362e-02 8.723480000000000123e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725027170316458e+09 8.638210000000000333e-02 8.731060000000000210e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725037207833290e+09 8.633680000000000521e-02 8.780100000000000404e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725047261797667e+09 8.640950000000000020e-02 8.784780000000000366e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725057308808088e+09 8.646239999999999482e-02 8.780319999999999792e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725067344417095e+09 8.642049999999999732e-02 8.777920000000000167e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725077390970707e+09 8.642740000000000145e-02 8.809459999999999513e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725087432606936e+09 8.600040000000000462e-02 8.803590000000000027e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725097481602907e+09 8.605160000000000586e-02 8.800589999999999802e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725107524671316e+09 8.610489999999999811e-02 8.796919999999999740e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725117571454048e+09 8.612740000000000673e-02 8.795890000000000652e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725127612434387e+09 8.631890000000000396e-02 8.795640000000000402e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725137656050682e+09 8.630920000000000258e-02 8.778769999999999629e-02
3.160000000000000142e+00 5.000000000000000000e+01 1.634725147703698635e+09 8.650670000000000581e-02 8.778329999999999467e-02
