# Start time is 14:34:26
# 
# Freq, GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# Hz, mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 105; lockin V = 1mV (10uV), tau = 100ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
10.0000000 0.1525902 0.0305180 -0.0101707 -0.000584732779119 0.000008601774024
10.4761575 0.1525902 0.0305180 -0.0095601 -0.000487312141403 0.000005329266724
10.9749877 0.1525902 0.0305180 -0.0098440 -0.000493810530419 -0.000001847413044
11.4975700 0.1525902 0.0305180 -0.0101593 -0.000483600437506 0.000000826299489
12.0450354 0.1525902 0.0305180 -0.0101810 -0.000483133665344 -0.000001297238677
12.6185688 0.1525902 0.0305180 -0.0096250 -0.000486073444924 0.000000147601668
13.2194115 0.1525902 0.0305180 -0.0093132 -0.000486534363629 0.000005481659239
13.8488637 0.1525902 0.0305180 -0.0100105 -0.000486313006650 -0.000000148337682
14.5082878 0.1525902 0.0305180 -0.0092308 -0.000489273439855 0.000003816218488
15.1991108 0.1525902 0.0305180 -0.0097585 -0.000491406332391 0.000001464681007
15.9228279 0.1525902 0.0305180 -0.0092712 -0.000489747562172 0.000004212057216
16.6810054 0.1525902 0.0305180 -0.0095900 -0.000490023134549 0.000001268986426
17.4752840 0.1525902 0.0305180 -0.0102977 -0.000489108930421 0.000004659281830
18.3073828 0.1525902 0.0305180 -0.0100525 -0.000489929536228 0.000001816210863
19.1791026 0.1525902 0.0305180 -0.0093013 -0.000487876058028 -0.000001670391371
20.0923300 0.1525902 0.0305180 -0.0094432 -0.000490273330593 0.000005289091984
21.0490414 0.1525902 0.0305180 -0.0100657 -0.000484521511294 0.000000492376994
22.0513074 0.1525902 0.0305180 -0.0093456 -0.000489480685099 -0.000000414970396
23.1012970 0.1525902 0.0305180 -0.0095579 -0.000487023082286 0.000003594557823
24.2012826 0.1525902 0.0305180 -0.0102132 -0.000489849098050 0.000006404924623
25.3536449 0.1525902 0.0305180 -0.0101827 -0.000487848287446 0.000000165129142
26.5608778 0.1525902 0.0305180 -0.0095340 -0.000490162302306 0.000002450942855
27.8255940 0.1525902 0.0305180 -0.0101414 -0.000487648045203 0.000002501077575
29.1505306 0.1525902 0.0305180 -0.0101803 -0.000490453392069 0.000005296493831
30.5385551 0.1525902 0.0305180 -0.0094653 -0.000490361029053 0.000002883832521
31.9926714 0.1525902 0.0305180 -0.0097342 -0.000488944711751 0.000004438973950
33.5160265 0.1525902 0.0305180 -0.0096412 -0.000486932498509 0.000003148167320
35.1119173 0.1525902 0.0305180 -0.0095742 -0.000488442620898 0.000003164241563
36.7837977 0.1525902 0.0305180 -0.0096022 -0.000488853016023 0.000006306239992
38.5352859 0.1525902 0.0305180 -0.0096308 -0.000488989555746 0.000004022558547
40.3701726 0.1525902 0.0305180 -0.0099536 -0.000485657549370 0.000004596778196
42.2924287 0.1525902 0.0305180 -0.0097755 -0.000486923525364 0.000004549938798
44.3062146 0.1525902 0.0305180 -0.0096998 -0.000487845825647 0.000003960042577
46.4158883 0.1525902 0.0305180 -0.0098399 -0.000491058379223 0.000005925984439
48.6260158 0.1525902 0.0305180 -0.0097926 -0.000484582682702 0.000007571417119
50.9413801 0.1525902 0.0305180 -0.0098538 -0.000499056277457 0.000015019567440
53.3669923 0.1525902 0.0305180 -0.0097931 -0.000482855575951 0.000005248161258
55.9081018 0.1525902 0.0305180 -0.0098021 -0.000488689045824 0.000005850281305
58.5702082 0.1525902 0.0305180 -0.0098063 -0.000486294857118 0.000007309726802
61.3590727 0.1525902 0.0305180 -0.0097671 -0.000486861778890 0.000005796378991
64.2807312 0.1525902 0.0305180 -0.0096868 -0.000487227187282 0.000005839125375
67.3415066 0.1525902 0.0305180 -0.0097346 -0.000485648163869 0.000006012257276
70.5480231 0.1525902 0.0305180 -0.0099987 -0.000488104640633 0.000008469736147
73.9072203 0.1525902 0.0305180 -0.0097258 -0.000488946524472 0.000010142774349
77.4263683 0.1525902 0.0305180 -0.0097792 -0.000487289124661 0.000007631224580
81.1130831 0.1525902 0.0305180 -0.0097115 -0.000488156344303 0.000009522092415
84.9753436 0.1525902 0.0305180 -0.0097269 -0.000489488902847 0.000009174517533
89.0215085 0.1525902 0.0305180 -0.0098274 -0.000488111260061 0.000010260348639
93.2603347 0.1525902 0.0305180 -0.0098463 -0.000486388518291 0.000010036104582
97.7009957 0.1525902 0.0305180 -0.0098253 -0.000487600535580 0.000010843033918
102.3531022 0.1525902 0.0305180 -0.0098236 -0.000488324742335 0.000011858865559
107.2267222 0.1525902 0.0305180 -0.0098656 -0.000488631924550 0.000011062176393
112.3324033 0.1525902 0.0305180 -0.0098347 -0.000487606920047 0.000012382256766
117.6811952 0.1525902 0.0305180 -0.0099050 -0.000488140764652 0.000012113693851
123.2846739 0.1525902 0.0305180 -0.0098317 -0.000488784595494 0.000012790245895
129.1549665 0.1525902 0.0305180 -0.0098942 -0.000487410275051 0.000012837173990
135.3047775 0.1525902 0.0305180 -0.0098848 -0.000486998390863 0.000013617606818
141.7474163 0.1525902 0.0305180 -0.0098257 -0.000487666964819 0.000015029882211
148.4968262 0.1525902 0.0305180 -0.0098545 -0.000487181088598 0.000014802353992
155.5676144 0.1525902 0.0305180 -0.0098380 -0.000487979012481 0.000017404548040
162.9750835 0.1525902 0.0305180 -0.0099299 -0.000487427598697 0.000018818305446
170.7352647 0.1525902 0.0305180 -0.0097838 -0.000488163107644 0.000017562233630
178.8649529 0.1525902 0.0305180 -0.0098154 -0.000488985900934 0.000019802921982
187.3817423 0.1525902 0.0305180 -0.0097990 -0.000487523838563 0.000020832529951
196.3040650 0.1525902 0.0305180 -0.0097819 -0.000487087671783 0.000020569746480
205.6512308 0.1525902 0.0305180 -0.0098213 -0.000488216493632 0.000022682277916
215.4434690 0.1525902 0.0305180 -0.0097704 -0.000487705088353 0.000022216493764
225.7019720 0.1525902 0.0305180 -0.0098382 -0.000486491058626 0.000023040322643
236.4489413 0.1525902 0.0305180 -0.0098254 -0.000488061122404 0.000024427230513
247.7076356 0.1525902 0.0305180 -0.0098477 -0.000486243727339 0.000027185458378
259.5024211 0.1525902 0.0305180 -0.0098612 -0.000486502484761 0.000028139517112
271.8588243 0.1525902 0.0305180 -0.0097553 -0.000486692559084 0.000029598784626
284.8035868 0.1525902 0.0305180 -0.0097868 -0.000487585101018 0.000028916977101
298.3647240 0.1525902 0.0305180 -0.0097998 -0.000487329612486 0.000030821876783
312.5715850 0.1525902 0.0305180 -0.0097428 -0.000486377110366 0.000033367373074
327.4549163 0.1525902 0.0305180 -0.0098199 -0.000487158169365 0.000033596761007
343.0469286 0.1525902 0.0305180 -0.0097981 -0.000487451888337 0.000035699363008
359.3813664 0.1525902 0.0305180 -0.0098019 -0.000485167616554 0.000037432154630
376.4935807 0.1525902 0.0305180 -0.0097830 -0.000486283356383 0.000039020257509
394.4206059 0.1525902 0.0305180 -0.0097771 -0.000486234501611 0.000041573267840
